Visitor,Home
LAL,DEN
PHX,GSW
HOU,ORL
BOS,NYK
WAS,IND
ATL,CHA
DET,MIA
MIN,TOR
CLE,BKN
NOP,MEM
OKC,CHI
SAC,UTA
DAL,SAS
POR,LAC
PHI,MIL
PHX,LAL
DEN,MEM
DET,CHA
NYK,ATL
OKC,CLE
MIA,BOS
TOR,CHI
HOU,SAS
BKN,DAL
LAC,UTA
ORL,POR
GSW,SAC
CHI,DET
MEM,WAS
NYK,NOP
IND,CLE
PHI,TOR
MIA,MIN
UTA,PHX
DEN,OKC
GSW,HOU
ATL,MIL
POR,PHI
SAS,LAC
LAL,SAC
CHI,IND
BOS,WAS
BKN,CHA
POR,TOR
MIN,ATL
DAL,MEM
MIA,MIL
GSW,NOP
DET,OKC
UTA,DEN
ORL,LAL
NYK,CLE
SAS,PHX
ORL,LAC
POR,DET
MIL,TOR
WAS,ATL
IND,BOS
BKN,MIA
CLE,NYK
NOP,OKC
CHA,HOU
DEN,MIN
CHI,DAL
MEM,UTA
SAC,GSW
LAC,LAL
TOR,PHI
DET,NOP
ORL,UTA
SAS,PHX
CLE,IND
NYK,MIL
BKN,CHI
WAS,MIA
GSW,OKC
DAL,DEN
MEM,POR
PHX,PHI
CHA,IND
ATL,NOP
LAL,ORL
BOS,BKN
SAC,HOU
UTA,MIN
CHI,DEN
PHX,DET
TOR,SAS
GSW,CLE
CHA,DAL
MEM,POR
GSW,DET
SAS,IND
DAL,ORL
WAS,PHI
MIL,BKN
LAL,MIA
LAC,NYK
UTA,CHI
SAC,HOU
BOS,MIN
ATL,OKC
NOP,DEN
WAS,CHA
UTA,IND
BOS,PHI
LAC,BKN
SAS,NYK
PHX,CHI
LAL,HOU
MIA,MEM
DET,MIL
NOP,MIN
CLE,OKC
TOR,DAL
GSW,DEN
POR,SAC
MIL,IND
ATL,ORL
PHI,DET
CHA,WAS
BKN,BOS
NOP,HOU
UTA,MEM
MIN,SAS
LAC,DAL
LAL,PHX
OKC,SAC
MIL,ORL
TOR,BOS
MIA,ATL
CLE,GSW
CHA,NYK
WAS,BKN
MEM,LAC
IND,PHI
DET,CHI
DEN,HOU
DAL,NOP
MIA,SAS
OKC,PHX
MIN,GSW
POR,LAL
NYK,BOS
WAS,TOR
CHI,MIL
CLE,SAC
MIA,CHA
ATL,DET
IND,PHI
ORL,BKN
SAS,OKC
DAL,NOP
POR,UTA
LAC,DEN
MIN,GSW
MEM,LAL
DAL,WAS
NYK,ATL
BOS,PHI
MIL,TOR
ORL,CHI
MIN,PHX
SAC,LAL
CLE,POR
BKN,MIA
OKC,GSW
MIL,CHA
NYK,WAS
PHI,ATL
DET,CLE
SAC,SAS
BOS,TOR
ORL,CHI
DEN,NOP
LAL,POR
PHX,UTA
HOU,LAC
NYK,CHA
MIN,NOP
MIA,CHI
DAL,MIL
MEM,SAS
OKC,GSW
PHI,BKN
DET,TOR
ORL,IND
DEN,CLE
SAC,DAL
BOS,MEM
PHX,UTA
OKC,POR
HOU,LAL
BOS,CHA
DEN,DET
MIL,WAS
MIA,CHI
NYK,MIN
SAC,NOP
LAC,SAS
HOU,GSW
TOR,ORL
IND,ATL
CLE,PHI
POR,PHX
UTA,LAL
WAS,CHA
DEN,ORL
BKN,ATL
MIL,BOS
MIA,CLE
TOR,IND
MEM,HOU
PHI,MIN
SAC,NOP
CHI,OKC
LAC,SAS
GSW,PHX
UTA,POR
DAL,LAL
BOS,ORL
PHX,MEM
MIA,NYK
CHI,TOR
DEN,HOU
DET,IND
WAS,MIL
SAC,MIN
SAS,GSW
NOP,LAC
PHI,OKC
MIA,BKN
ATL,WAS
LAL,CLE
NOP,UTA
DAL,LAC
POR,MIL
ATL,BOS
MIN,MEM
PHX,NYK
CHA,ORL
CHI,BKN
TOR,CLE
SAS,DEN
WAS,DET
POR,IND
LAL,PHI
NOP,UTA
DEN,LAC
CHI,BOS
TOR,BKN
ATL,CLE
MIL,MIA
CHA,NYK
OKC,MIN
HOU,DAL
GSW,SAC
LAL,DET
WAS,ORL
PHX,TOR
UTA,MEM
PHI,NOP
HOU,DEN
LAC,SAC
POR,CLE
CHA,BKN
IND,MIA
DET,NYK
MIL,CHI
UTA,MIN
LAL,OKC
ATL,SAS
LAC,GSW
WAS,ORL
PHI,BOS
MEM,DAL
NYK,TOR
SAS,NOP
DEN,PHX
GSW,LAC
MIN,CHA
ORL,BKN
CLE,DET
NOP,CHI
IND,MIA
ATL,MIL
OKC,DAL
MEM,PHX
POR,UTA
DEN,SAC
HOU,LAL
BOS,IND
NOP,SAC
NYK,MIL
PHX,LAL
ORL,CLE
MEM,DET
PHI,WAS
BKN,ATL
SAS,MIN
MIA,TOR
